PERIOD,YEAR,STATS_VALUE
September,1913,10.7
October,1913,12
November,1913,12.9
December,1913,13.9
January,1914,18.1
February,1914,16.3
March,1914,14.6
April,1914,12.5
May,1914,7.3
June,1914,5.8
July,1914,5.6
August,1914,6.4
September,1914,9
October,1914,12
November,1914,13
December,1914,14
January,1915,16.2
February,1915,15
March,1915,12.5
April,1915,10.9
May,1915,9.5
June,1915,6.1
July,1915,7.4
August,1915,7.5
September,1915,11
October,1915,12.9
November,1915,13.2
December,1915,16
January,1916,16.2
February,1916,17.8
March,1916,16.4
April,1916,12.5
May,1916,9.4
June,1916,8.8
July,1916,7
August,1916,7.1
September,1916,10.1
October,1916,11.3
November,1916,15
December,1916,17.9
January,1917,17.7
February,1917,15.9
March,1917,15.5
April,1917,13.4
May,1917,10.3
June,1917,6.9
July,1917,7.8
August,1917,6.9
September,1917,11.1
October,1917,12.4
November,1917,14.4
December,1917,14.6
January,1918,16
February,1918,17.3
March,1918,14.5
April,1918,11.9
May,1918,8.9
June,1918,6.8
July,1918,4.4
August,1918,7
September,1918,9.6
October,1918,11.9
November,1918,12.6
December,1918,13.9
January,1919,15.4
February,1919,16
March,1919,14.7
April,1919,11.3
May,1919,8.6
June,1919,6.6
July,1919,7.1
August,1919,8.1
September,1919,7.9
October,1919,12.1
November,1919,12
December,1919,14.4
January,1920,14.9
February,1920,15.8
March,1920,14.7
April,1920,12.7
May,1920,7.5
June,1920,7.3
July,1920,7
August,1920,5.7
September,1920,8.2
October,1920,12.4
November,1920,13.1
December,1920,15.7
January,1921,15.3
February,1921,15.4
March,1921,14.1
April,1921,10.8
May,1921,9.9
June,1921,7.2
July,1921,7.1
August,1921,7.4
September,1921,9.8
October,1921,11.7
November,1921,13.8
December,1921,15.2
January,1922,15.8
February,1922,16.4
March,1922,13.4
April,1922,11.5
May,1922,8.4
June,1922,5.2
July,1922,5.2
August,1922,7
September,1922,8.8
October,1922,13.3
November,1922,13.3
December,1922,15
January,1923,16.2
February,1923,14.9
March,1923,13.6
April,1923,9.8
May,1923,8.5
June,1923,5.7
July,1923,5.1
August,1923,6.2
September,1923,9.8
October,1923,11.2
November,1923,16
December,1923,17.6
January,1924,17.4
February,1924,17.2
March,1924,15
April,1924,14.2
May,1924,9
June,1924,6.8
July,1924,5.6
August,1924,7.3
September,1924,10.6
October,1924,12.6
November,1924,14.4
December,1924,14.7
January,1925,16.3
February,1925,15.5
March,1925,13.4
April,1925,11.7
May,1925,7.4
June,1925,4.9
July,1925,6.5
August,1925,6.8
September,1925,8.2
October,1925,12
November,1925,12.4
December,1925,15.7
January,1926,16.2
February,1926,14.7
March,1926,13.8
April,1926,13.2
May,1926,8.9
June,1926,5.9
July,1926,6.2
August,1926,7.2
September,1926,9.5
October,1926,11.5
November,1926,12.7
December,1926,14.2
January,1927,16.6
February,1927,16.9
March,1927,14.5
April,1927,10.9
May,1927,8.3
June,1927,4.7
July,1927,5.6
August,1927,6.2
September,1927,9.2
October,1927,12
November,1927,11.9
December,1927,14.1
January,1928,16.3
February,1928,16.9
March,1928,15.6
April,1928,13.6
May,1928,8.6
June,1928,6.9
July,1928,7.6
August,1928,7.2
September,1928,9.5
October,1928,12.4
November,1928,12.9
December,1928,14.5
January,1929,16.3
February,1929,16.1
March,1929,14.2
April,1929,11.5
May,1929,7.5
June,1929,7.2
July,1929,5.6
August,1929,6.1
September,1929,8.4
October,1929,11.8
November,1929,13.1
December,1929,14.7
January,1930,14.7
February,1930,15.4
March,1930,13.9
April,1930,11.5
May,1930,8.3
June,1930,5.2
July,1930,4.3
August,1930,6.4
September,1930,7.6
October,1930,9.9
November,1930,11.9
December,1930,14.6
January,1931,15.9
February,1931,14.6
March,1931,13.8
April,1931,11.2
May,1931,8.9
June,1931,5.1
July,1931,5
August,1931,6.4
September,1931,7.1
October,1931,12.4
November,1931,14.2
December,1931,15.7
January,1932,16
February,1932,15.4
March,1932,14
April,1932,11.9
May,1932,7.8
June,1932,5.7
July,1932,4.4
August,1932,5.4
September,1932,8.8
October,1932,11.4
November,1932,14.3
December,1932,14.5
January,1933,16.7
February,1933,17.2
March,1933,15.6
April,1933,12.1
May,1933,8.1
June,1933,4.9
July,1933,5.7
August,1933,6.9
September,1933,9.5
October,1933,12.2
November,1933,12.5
December,1933,15.7
January,1934,15.2
February,1934,15.7
March,1934,13.7
April,1934,12.5
May,1934,8.1
June,1934,6.2
July,1934,4.7
August,1934,7
September,1934,9.8
October,1934,11.2
November,1934,14.9
December,1934,17.9
January,1935,18.6
February,1935,17.5
March,1935,15.7
April,1935,12.7
May,1935,8.4
June,1935,5.4
July,1935,5.2
August,1935,7.1
September,1935,7.4
October,1935,11.9
November,1935,11.1
December,1935,17.6
January,1936,16.5
February,1936,14.9
March,1936,12.3
April,1936,12.7
May,1936,7.6
June,1936,6.4
July,1936,5.3
August,1936,8.1
September,1936,9.2
October,1936,12.9
November,1936,13.5
December,1936,13.4
January,1937,15.4
February,1937,13.8
March,1937,14.1
April,1937,10.9
May,1937,8.8
June,1937,5
July,1937,5.1
August,1937,7.9
September,1937,9.4
October,1937,10.8
November,1937,13.6
December,1937,15.6
January,1938,16.8
February,1938,18.5
