PERIOD,YEAR,STATS_VALUE
November,2019,16.1
December,2019,16.7
January,2020,17.8
February,2020,18.7
March,2020,15
April,2020,13.4
May,2020,11
June,2020,8.8
July,2020,7.5
August,2020,9.4
September,2020,10.9
October,2020,13.7
November,2020,14.7
December,2020,16.6
January,2021,18
February,2021,17.4
March,2021,16.5
April,2021,14.2
May,2021,11.1
June,2021,9.2
July,2021,7.7
August,2021,8.9
September,2021,10.3
October,2021,12.7
November,2021,14.8
December,2021,16.5
January,2022,17.7
February,2022,16.8
March,2022,16.3
April,2022,13.7
May,2022,11.5
June,2022,9
July,2022,7.7
August,2022,9.4
September,2022,10.6
October,2022,11.6
November,2022,15.8
December,2022,16.4
January,2023,18.1
February,2023,18.8
March,2023,15.8
April,2023,14
May,2023,12.2
June,2023,9.7
July,2023,8
August,2023,7.8
September,2023,11.8
October,2023,12.4
November,2023,14.1
December,2023,17.3
January,2024,19.1
February,2024,18
March,2024,14.5
April,2024,13.1
May,2024,8.3
June,2024,9
July,2024,7.8
August,2024,8.7
October,2024,12.8
November,2024,14.8
December,2024,17.7
January,2025,15.9
February,2025,17.6
March,2025,16.4
April,2025,13.6
May,2025,10.5
June,2025,7.8
July,2025,7.8
August,2025,7.9
September,2025,11.1
October,2025,13.4
November,2025,16.7
December,2025,17.1
January,2026,17.3
February,2026,16.5
March,2026,15.4
April,2026,13.8
